1	team72	11	645	2/82	1/53	1/12	1/79	2/71	1/49	1/14	1/35	1/8	2/71	1/75	14/11
40	team30	3	180	0/--	0/--	1/105	0/--	0/--	0/--	1/40	0/--	1/112	0/--	0/--	3/3
41	team3	2	110	0/--	0/--	1/21	0/--	1/--	0/--	0/--	0/--	3/106	0/--	0/--	5/2
42	team90	2	115	0/--	0/--	2/77	0/--	1/47	0/--	0/--	0/--	0/--	0/--	0/--	3/2
43	team7	2	120	0/--	0/--	0/--	0/--	1/4	0/--	0/--	0/--	1/37	0/--	1/--	3/2
44	team14	2	120	1/--	0/--	1/28	0/--	0/--	0/--	0/--	0/--	1/45	0/--	0/--	3/2
45	team1	2	120	0/--	0/--	1/41	1/--	0/--	0/--	0/--	0/--	1/77	0/--	0/--	3/2
46	team2	2	120	0/--	0/--	1/61	3/--	3/--	0/--	1/82	0/--	0/--	0/--	0/--	8/2
47	team23	2	120	0/--	0/--	1/98	1/--	0/--	0/--	1/--	0/--	1/74	0/--	0/--	4/2
48	team9	2	120	2/--	0/--	0/--	0/--	2/--	0/--	1/46	0/--	1/117	0/--	0/--	6/2
49	team35	1	55	0/--	0/--	2/83	0/--	3/--	0/--	0/--	0/--	0/--	0/--	0/--	5/1
50	team84	1	55	0/--	0/--	2/97	0/--	0/--	0/--	0/--	0/--	0/--	0/--	0/--	2/1
51	team8	1	60	0/--	0/--	0/--	0/--	0/--	0/--	1/87	0/--	0/--	0/--	0/--	1/1
52	team6	0	0	0/--	0/--	0/--	0/--	0/--	0/--	0/--	0/--	5/--	0/--	0/--	5/0
52	team13	0	0	0/--	0/--	0/--	0/--	0/--	0/--	0/--	0/--	0/--	0/--	0/--	0/0
52	team17	0	0	2/--	0/--	0/--	0/--	2/--	0/--	0/--	0/--	0/--	0/--	0/--	4/0
